ID;Name;Year Published;Min Players;Max Players;Play Time;Min Age;Users Rated;Rating Average;BGG Rank;Complexity Average;Owned Users;Domains
174430;Gloomhaven;2017;1;4;120;14;42055;8.79;1;3.86;68323;Strategy Games, Thematic Games
161936;Pandemic Legacy: Season 1;2015;2;4;60;13;41643;8.61;2;2.84;65294;Strategy Games, Thematic Games
224517;Brass: Birmingham;2018;2;4;120;14;19217;8.66;3;3.91;28785;Strategy Games
167791;Terraforming Mars;2016;1;5;120;12;64864;8.43;4;3.24;87099;Strategy Games
233078;Twilight Imperium: Fourth Edition;2017;3;6;480;14;13468;8.70;5;4.22;16831;Strategy Games, Thematic Games
291457;Gloomhaven: Jaws of the Lion;2020;1;4;120;14;8392;8.87;6;3.55;21609;Strategy Games, Thematic Games
182028;Through the Ages: A New Story of Civilization;2015;2;4;120;14;23061;8.43;7;4.41;26985;Strategy Games
220308;Gaia Project;2017;1;4;150;12;16352;8.49;8;4.35;20312;Strategy Games
187645;Star Wars: Rebellion;2016;2;4;240;14;23081;8.42;9;3.71;34849;Thematic Games
12333;Twilight Struggle;2005;2;2;180;13;40814;8.29;10;3.59;56219;Strategy Games, Wargames
193738;Great Western Trail;2016;2;4;150;12;29457;8.30;11;3.71;35804;Strategy Games
115746;War of the Ring: Second Edition;2012;2;4;180;13;13725;8.49;12;4.14;22281;Thematic Games, Wargames
162886;Spirit Island;2017;1;4;120;13;25722;8.35;13;4.01;38254;Strategy Games
169786;Scythe;2016;1;5;115;14;57871;8.24;14;3.41;75640;Strategy Games
84876;The Castles of Burgundy;2011;2;4;90;12;46507;8.13;15;3.00;63058;Strategy Games
120677;Terra Mystica;2012;2;5;150;12;39284;8.14;16;3.96;42720;Strategy Games
173346;7 Wonders Duel;2015;2;2;30;10;60302;8.11;17;2.23;94343;Strategy Games
124361;Concordia;2013;2;5;100;13;28105;8.12;18;3.03;32014;Strategy Games
28720;Brass: Lancashire;2007;2;4;120;14;19400;8.17;19;3.86;25429;Strategy Games
266192;Wingspan;2019;1;5;70;10;43165;8.11;20;2.42;61775;Family Games, Strategy Games
